Price,Open,High,Low,Close,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2023-03-13,369.1258084161372,377.42078697815566,368.00434147635104,372.557861328125,157790000
2023-03-14,377.5270990835378,380.37910817644826,374.1917006192016,378.71624755859375,149752400
2023-03-15,373.0702611544312,376.55064100623656,370.9626610839545,376.3476257324219,172996900
2023-03-16,373.9693608225633,383.2987698011044,373.45696926841015,382.9507141113281,143254200
2023-03-17,381.60761578657866,382.7527614817433,377.0755149668933,378.4729919433594,140553400
2023-03-20,379.2590639980232,382.52956760041235,378.5506409735536,382.11224365234375,93055800
2023-03-21,385.50885188456004,387.614781311772,383.8978708110625,387.1295471191406,91524200
2023-03-22,386.9548598944108,390.60380078936583,380.49153706201895,380.53033447265625,111746600
2023-03-23,383.42233414739775,387.4983130352313,378.822323678022,381.5590515136719,119351300
2023-03-24,380.2683614595609,384.15023533679164,377.90041602514236,384.0628967285156,107682400
2023-03-27,386.36287408760825,387.1392665762463,383.87847735665684,384.781005859375,74010400
2023-03-28,384.08226040286235,384.78099882168397,382.0636992020135,383.91729736328125,62871700
2023-03-29,388.1194498114992,389.74014519474224,386.90636421864724,389.4975280761719,77497900
2023-03-30,392.1566045137155,392.40893579573674,389.89542598659796,391.77813720703125,69840000
2023-03-31,392.70978323761483,397.600952726272,392.6030163030725,397.30010986328125,112062600
2023-04-03,396.77603618761646,399.221606047356,396.3781405646604,398.81402587890625,67391100
2023-04-04,399.46418225623887,399.75534053452026,395.21352609388964,396.601318359375,66601500
2023-04-05,395.86380062270194,396.6304790133016,393.89375079598193,395.5629577636719,65200200
2023-04-06,394.75744086790206,397.3874316919931,393.6996338110333,397.1059875488281,63743300
2023-04-10,394.602144584938,397.5912038623676,393.98106020522437,397.5135498046875,63681000
2023-04-11,398.1443920612367,399.0372064417564,396.8439679043257,397.6203308105469,59297900
2023-04-12,399.70679952228363,399.997957800693,395.40763178650366,395.9996032714844,86420400
2023-04-13,397.096234465644,401.61862055475564,395.9413747536693,401.2595520019531,85814800
2023-04-14,400.6190277479158,402.83169434908916,397.9502398483437,400.27935791015625,78161500
2023-04-17,400.1920557220782,401.73509694861116,398.9498573350132,401.7156982421875,66436400
2023-04-18,403.30725918530067,403.4431389820466,400.5899594138446,401.97772216796875,63560000
2023-04-19,400.0464777139592,402.8220030713363,399.988251980332,401.9097900390625,55227300
2023-04-20,399.0663258371117,401.48281243371395,398.1540831183915,399.716552734375,75840400
2023-04-21,400.01735493098494,400.49287494926716,398.05701950932814,400.0270690917969,73457400
2023-04-24,399.82325248521954,400.8713749052698,398.47431685747074,400.4443664550781,64332100
2023-04-25,398.45490691915677,399.017795182354,394.02957333694803,394.0877990722656,97766700
2023-04-26,394.7089612654626,395.7958812792329,391.85578142114093,392.41864013671875,80447000
2023-04-27,394.98062802379576,400.5025954384482,394.72829676944957,400.2308654785156,92968400
2023-04-28,399.3380597783683,403.6566563005674,399.27983403968966,403.6469421386719,89433100
2023-05-01,403.20055284985267,405.2870542221282,403.0064473014021,403.2393798828125,62122300
2023-05-02,402.5212094915716,402.5697506864298,395.7764711795363,398.707275390625,103998500
2023-05-03,399.21185026970943,401.6477353300267,395.72787241200416,395.9704895019531,91531800
2023-05-04,394.9127555964971,395.2427113459031,391.8169585867667,393.1659240722656,94901900
2023-05-05,396.83422295022166,401.50217341967084,396.57220715338116,400.4443664550781,87891800
2023-05-08,400.77436587127386,401.03638169670114,399.13427178508493,400.5511474609375,50046800
2023-05-09,398.98872224726796,399.9203637219375,398.5617137346385,398.79461669921875,49220100
2023-05-10,401.65747924921243,402.29799196809375,396.7954229291816,400.65789794921875,96142900
2023-05-11,399.78449026719835,400.25029616925275,397.8629520721835,399.95916748046875,70157100
2023-05-12,401.211062885863,401.42456712060635,396.9895193812775,399.4350891113281,70481500
2023-05-15,400.0465235019948,401.22078208633735,398.11530067751465,400.8132019042969,54289400
2023-05-16,399.6971446686696,400.6288157582083,398.1249904275522,398.13470458984375,57705500
2023-05-17,400.17266700485845,403.5789910888455,398.5131742656675,402.9676208496094,87287000
2023-05-18,402.64734245136754,407.27649577976723,402.42415366872075,406.8494873046875,97177200
2023-05-19,407.7616899656403,408.2954356989254,405.02496217571985,406.2574462890625,103793300
2023-05-22,406.2769210091644,407.975240775284,405.0250084318478,406.4224853515625,60745400
2023-05-23,404.7629582072301,406.35454064219726,401.46337148110194,401.86126708984375,86383500
2023-05-24,400.24059920417324,400.62878064928873,397.775601122354,398.9498596191406,89213700
2023-05-25,402.4920322006636,403.870110282688,400.2308539864733,402.4046936035156,90961600
2023-05-26,403.0646504780238,408.3440012437636,402.98702603279827,407.61614990234375,93830000
2023-05-30,409.5667652310189,410.10051098827387,406.37391599939184,407.7713928222656,72216000
2023-05-31,405.927548238156,406.8397909643,403.9283855701419,405.51025390625,110811800
2023-06-01,405.743118382217,410.43049720744193,404.4815213442633,409.36297607421875,88865000
2023-06-02,411.9637917918472,416.07856789105455,411.4300460754028,415.2828063964844,91426200
2023-06-05,415.63220615366964,416.93263025879423,413.77860795130954,414.487060546875,65460200
2023-06-06,414.0697950169166,415.9233637317422,413.4098539490666,415.3896179199219,64022200
2023-06-07,415.7875077033556,416.9326533736374,413.52629961547433,413.95330810546875,85373300
2023-06-08,414.0212679011985,416.9132747012552,413.2449049455442,416.4571533203125,61952800
2023-06-09,417.2626019577658,419.23265170531073,416.20479491266497,417.2043762207031,85742800
2023-06-12,418.194242237204,421.0668203143709,417.4663909610866,420.9891662597656,76104300
2023-06-13,422.4643462971103,424.4149678049898,421.7947206758486,423.7647705078125,95899700
2023-06-14,424.1044461208311,426.0938946873702,420.78543083952667,424.2694091796875,100612100
2023-06-15,423.4445015472938,430.79095509566173,423.3474783917532,429.52935791015625,110303100
2023-06-16,431.5339523095055,432.10865200218734,427.5889672468764,428.0662536621094,114165800
2023-06-20,426.10844732609047,427.00457826328125,423.7511764713073,425.8454284667969,76160400
2023-06-21,424.8518227878064,425.66029056375044,423.06925196557376,423.6634521484375,76982300
2023-06-22,422.69912373402843,425.29988281862416,422.35819213108834,425.1927490234375,70637200
2023-06-23,421.70553215879164,423.78031297278795,421.2574667795526,421.978271484375,92074500
2023-06-26,421.4036108524512,423.3420073200014,420.0106930865871,420.25421142578125,72823600
2023-06-27,421.1406050558911,425.48496373154705,420.68278940729704,424.861572265625,72813700
2023-06-28,423.7706127264039,426.0986623768165,423.14722121995817,425.0758972167969,75636000
2023-06-29,424.65702987977147,426.9168872953884,424.2479356997483,426.75128173828125,67882300
2023-06-30,429.99497044748864,432.7808061441269,429.6735095739617,431.7872619628906,104964000
2023-07-03,431.4365880280361,432.5664869725604,431.154098428725,432.2840270996094,32793400
2023-07-05,430.4527730802181,432.3814490837736,430.44302283393387,431.6411437988281,58418400
2023-07-06,428.02734029826433,428.68970306632883,425.72851164990533,428.2611083984375,80658300
2023-07-07,427.257782599794,431.1638261025001,426.9363217593201,427.1798400878906,86134200
2023-07-10,426.8194690858612,428.43643447356743,426.2447693553616,428.2611083984375,62443500
2023-07-11,429.030597234753,431.48525125131926,428.0467736884947,430.98846435546875,64463800
2023-07-12,434.8165477749362,435.8782839902998,433.3749087448808,434.45611572265625,91924500
2023-07-13,436.2874839995263,438.70319681100347,435.8491687911927,437.9044494628906,72425200
2023-07-14,438.8005526873744,439.65771222475354,436.86212659849105,437.63165283203125,69815800
2023-07-17,437.4856183396678,440.21301214020014,437.43689683079504,439.1512756347656,52680200
2023-07-18,438.8200347136693,443.06698015944903,438.3816898250766,442.41436767578125,80668200
2023-07-19,443.21314755271635,444.59631513490996,442.33645771102164,443.3982238769531,65891700
