Date,Open,High,Low,Close,Volume
2024-02-02,415174.5855622495,415524.82563780405,411602.13679159415,413493.4331995882,24939800
2024-02-05,425531.95302627375,427165.6093306644,420346.8699732078,425034.7532814592,29891100
2024-02-06,426499.0194823075,447614.24015012634,419673.8976502852,445765.7696539536,80031600
2024-02-07,451784.8721159862,475682.10009332624,451077.8535367749,460976.1136457324,90841000
2024-02-08,471728.0484851852,482919.19438017905,465070.0249780369,474561.24997758865,65539300
2024-02-09,479748.1215726662,481175.943363061,470610.0621141392,474465.1809482053,38909900
2024-02-13,481074.92087831994,494366.65220383514,478788.1714029625,493937.88667720556,50279000
2024-02-14,497866.0159208767,499452.0356646153,484601.1235186987,488061.5302323103,40613000
2024-02-15,491799.02833696693,491943.03976546973,482582.29691278946,487046.6511963755,31611400
2024-02-16,493431.4583555115,495296.1702620876,487120.1257486387,489702.0345423594,39276000
2024-02-19,490175.554214289,495200.7869024848,488309.03921581636,492472.80344317853,18623200
2024-02-20,495935.16424321366,499241.3986715018,484291.4690827208,490760.18861632794,32113800
2024-02-21,487671.0700250112,492834.64606057026,487097.3393543936,491830.6173869893,27204700
2024-02-22,496215.6243530316,507722.0736133918,495352.6406585046,506427.59807160124,45277100
2024-02-26,511084.3435817585,519290.4865632121,507053.2558013954,513243.8548926674,36879000
2024-02-27,518516.8518455821,518948.94922212,513619.7482448182,515924.26758635417,26141000
2024-02-28,516544.73980169196,518128.34965058224,509778.40681097854,513953.37823078036,21824800
2024-02-29,513062.08251463185,523006.26332741545,510179.7112645497,521853.31482738256,42143900
2024-03-01,516176.9209979963,529673.6193495432,514884.6839217842,528381.3822733313,29522200
2024-03-04,530426.8725577173,531862.7872100121,522098.5675744071,525831.9456703737,33112100
2024-03-05,527528.4171100733,538611.5516578156,524073.9336146731,536740.3730978072,31082800
2024-03-06,535252.812542369,541424.942051439,529654.8346155381,540994.3283647597,31920900
2024-03-07,542465.8148174618,544179.3156802703,519761.92838524905,522617.7631565966,44389400
2024-03-08,515449.4199099343,518419.9022969015,508518.29434034403,510640.0674738921,39889700
2024-03-11,491417.5452770422,495629.69566513115,483414.4595396733,491136.73525116965,34641400
2024-03-12,482995.3748486299,487767.7790174335,476959.6872233782,487767.7790174335,40384800
2024-03-13,495094.03542933165,499330.4361888525,480831.4862056116,486338.8071929887,32358800
2024-03-14,487192.6387613496,489028.43711030536,482250.1047449301,486486.56247328967,21846100
2024-03-15,487008.7373376394,497790.1716626206,485731.9885359968,494811.09112545475,33847800
2024-03-18,500857.20736782905,509549.1816635439,499289.8021669625,508266.7592264712,26489600
2024-03-19,509910.3477182758,524320.2372312993,507770.26511733176,524320.2372312993,33925900
2024-03-21,548028.5269278464,552210.8498965062,544567.2941261968,547884.3088944443,45118200
2024-03-22,555408.5533182751,564256.7961368739,552797.5964209837,561645.8392395824,38840700
2024-03-25,557246.6553482807,562457.2734242645,553338.6917912927,554351.8675282896,28829300
2024-03-26,554456.2240842794,558945.1619131153,548664.0462406202,557497.1174522005,30536000
2024-03-27,561699.2036960347,564018.4778274249,557495.5193328902,558510.2017653733,35165500
2024-03-28,562154.0111700586,564350.4972777823,553807.3639607091,557321.7417330667,34646300
2024-03-29,557592.1737771794,561843.0079095502,555833.2079293019,556859.2713405639,12094300
2024-04-01,556997.8987365762,560368.314856266,529888.0299477662,533258.4460674562,38828100
2024-04-02,540652.003922557,543586.3431568721,530528.5335641699,533022.7219133377,31273800
2024-04-03,532878.5229229095,536252.1001393221,527598.1411928723,530971.718409285,30222400
2024-04-04,538451.2049051918,548574.6744252075,535810.2998130136,538011.0540564954,33637800
2024-04-05,527906.2781305476,531860.0838197361,522488.0999638817,529956.3995990157,26966800
2024-04-08,538104.3724425657,543243.1590825355,534727.4555077283,542949.5141316801,23272600
2024-04-09,549669.8768905987,554960.816882059,546142.5835629584,554960.816882059,22518400
